job_male,job_female,similarity,job_male_ratio,job_female_ratio
Electrical and electronics engineer,Sewing machine operator,0.77978515625,11.6,70.7
Materials engineer,Speech-language pathologist,0.77978515625,13.5,94.3
Mechanical engineer,Insurance underwriter,0.77978515625,10.1,56.9
Electrical and electronic engineering technician,Physical therapist,0.77978515625,11.6,67.5
Electrical and electronic engineering technician,Nursing assistant,0.77978515625,11.6,90.1
Chemical technician,Artist,0.77978515625,35.0,51.6
Occupational health and safety specialist,Postal service clerk,0.77978515625,17.9,54.1
Lawyer,Lodging manager,0.77978515625,39.5,61.6
Lawyer,Teaching assistant,0.77978515625,39.5,79.5
Postsecondary teacher,Veterinary technician,0.77978515625,46.6,89.9
Photographer,Advertising sales agent,0.77978515625,48.5,52.7
Correctional officer,Lodging manager,0.77978515625,33.9,61.6
Correctional officer,Recreation worker,0.77978515625,33.9,58.9
Security guard,Lodging manager,0.77978515625,24.9,61.6
Security guard,Executive secretary,0.77978515625,24.9,90.0
First-line supervisor of housekeeping and janitorial workers,Real estate broker,0.77978515625,44.1,57.0
First-line supervisor of housekeeping and janitorial workers,Executive secretary,0.77978515625,44.1,90.0
Gambling services worker,Pharmacy technician,0.77978515625,40.2,79.3
First-line supervisor of construction trades and extraction workers,Public safety telecommunicator,0.77978515625,5.1,78.2
Painter,Interior designer,0.77978515625,10.4,85.3
Construction and building inspector,Accountant,0.77978515625,10.5,57.0
Construction and building inspector,Public relations specialist,0.77978515625,10.5,76.2
Construction and building inspector,First-line supervisor of office and administrative support workers,0.77978515625,10.5,65.8
Telecommunication equipment installer,Registered nurse,0.77978515625,5.9,87.4
Automotive service mechanic,Receptionist,0.77978515625,2.5,89.1
Telecommunication line installer,Real estate broker,0.77978515625,5.3,57.0
Wastewater treatment system operator,Executive secretary,0.77978515625,7.3,90.0
Cutting worker,Radiologic technician,0.77978515625,31.1,70.3
Aircraft pilot,Administrative services manager,0.77978515625,8.3,74.0
Aircraft pilot,Insurance underwriter,0.77978515625,8.3,56.9
Chief executive,Nutritionist,0.779296875,30.6,86.3
Sales manager,Miscellaneous health technician,0.779296875,33.1,72.7
Computer systems manager,Food preparation worker,0.779296875,27.7,58.7
Computer systems manager,Sewing machine operator,0.779296875,27.7,70.7
Industrial production manager,Substance abuse and behavioral disorder counselor,0.779296875,19.1,78.1
Industrial production manager,Special education teacher,0.779296875,19.1,86.6
Purchasing manager,Artist,0.779296875,47.7,51.6
Construction manager,First-line supervisor of food preparation and serving workers,0.779296875,10.6,53.5
Architectural and engineering manager,Physical therapist,0.779296875,12.8,67.5
Logistician,Receptionist,0.779296875,38.7,89.1
Financial and investment analyst,Physical therapist,0.779296875,43.9,67.5
Personal financial advisor,Medical scientist,0.779296875,32.6,51.8
Web and digital interface designer,Nurse practitioner,0.779296875,42.7,89.8
Computer support specialist,Supervisor of personal care and service workers,0.779296875,26.2,65.8
Computer support specialist,Billing and posting clerk,0.779296875,26.2,91.4
Computer support specialist,Payroll and timekeeping clerk,0.779296875,26.2,88.2
Network and computer systems administrator,Nursing assistant,0.779296875,16.7,90.1
Aerospace engineer,Nurse practitioner,0.779296875,15.2,89.8
Aerospace engineer,Medical appliance technician,0.779296875,15.2,58.9
Chemical engineer,Diagnostic medical sonographer,0.779296875,21.6,76.1
Electrical and electronic engineering technician,Recreation worker,0.779296875,11.6,58.9
Chemical technician,Paralegal,0.779296875,35.0,83.0
Chemical technician,Nutritionist,0.779296875,35.0,86.3
Postsecondary teacher,Author,0.779296875,46.6,53.8
Postsecondary teacher,Supervisor of personal care and service workers,0.779296875,46.6,65.8
Postsecondary teacher,Public safety telecommunicator,0.779296875,46.6,78.2
Photographer,Receptionist,0.779296875,48.5,89.1
Surgeon,Veterinarian,0.779296875,20.0,69.1
Paramedic,Biological scientist,0.779296875,29.5,55.0
First-line supervisor of police and detectives,Public safety telecommunicator,0.779296875,10.5,78.2
Criminal investigator,Public safety telecommunicator,0.779296875,26.3,78.2
Security guard,Advertising sales agent,0.779296875,24.9,52.7
First-line supervisor of housekeeping and janitorial workers,Order clerk,0.779296875,44.1,58.3
First-line supervisor of retail sales workers,Licensed practical nurse,0.779296875,44.6,88.7
Counter and rental clerk,Sewing machine operator,0.779296875,38.7,70.7
Transportation ticket agent,First-line supervisor of office and administrative support workers,0.779296875,45.9,65.8
Transportation ticket agent,Order clerk,0.779296875,45.9,58.3
Transportation ticket agent,Flight attendant,0.779296875,45.9,78.0
Construction equipment operator,Medical assistant,0.779296875,1.0,88.8
Automotive service mechanic,Recreation worker,0.779296875,2.5,58.9
Telecommunication line installer,Diagnostic medical sonographer,0.779296875,5.3,76.1
Boiler operator,Human resources worker,0.779296875,7.1,76.5
Industrial truck and tractor operator,Marketing specialist,0.779296875,9.5,61.7
Stocker,Public relations specialist,0.779296875,36.5,76.2
Operation manager,Special education teacher,0.77880859375,37.1,86.6
Sales manager,Flight attendant,0.77880859375,33.1,78.0
Computer systems manager,Healthcare social worker,0.77880859375,27.7,77.9
Food service manager,Substance abuse and behavioral disorder counselor,0.77880859375,46.7,78.1
Property assessor,Medical records specialist,0.77880859375,34.2,88.9
Personal financial advisor,Animal caretaker,0.77880859375,32.6,76.0
Information security analyst,Physical therapist,0.77880859375,19.3,67.5
Computer programmer,Legal secretary,0.77880859375,21.5,96.4
Software developer,Payroll and timekeeping clerk,0.77880859375,20.2,88.2
Software quality tester,Loan officer,0.77880859375,44.1,51.6
Computer support specialist,Tutor,0.77880859375,26.2,70.4
Database administrator,Graphic designer,0.77880859375,30.8,54.7
Electrical and electronic engineering technician,Loan officer,0.77880859375,11.6,51.6
Electrical and electronic engineering technician,Sewing machine operator,0.77880859375,11.6,70.7
Surveying and mapping technician,Lodging manager,0.77880859375,12.0,61.6
Surveying and mapping technician,Psychiatric technician,0.77880859375,12.0,69.5
Chemists and materials scientist,Pharmacist,0.77880859375,36.0,57.8
Occupational health and safety specialist,Nutritionist,0.77880859375,17.9,86.3
Lawyer,Bartender,0.77880859375,39.5,50.8
Postsecondary teacher,Entertainment and recreation manager,0.77880859375,46.6,50.1
Director,Receptionist,0.77880859375,43.6,89.1
First-line supervisor of police and detectives,Compliance officer,0.77880859375,10.5,51.8
First-line supervisor of security workers,Public relations specialist,0.77880859375,22.5,76.2
First-line supervisor of housekeeping and janitorial workers,Human resources manager,0.77880859375,44.1,76.5
Landscaping and groundskeeping worker,Insurance sales agent,0.77880859375,7.3,54.9
First-line supervisor of non-retail sales workers,Teaching assistant,0.77880859375,35.9,79.5
Retail salesperson,Registered nurse,0.77880859375,49.2,87.4
Transportation ticket agent,Insurance sales agent,0.77880859375,45.9,54.9
Highway maintenance worker,Public relations specialist,0.77880859375,2.2,76.2
Telecommunication equipment installer,Medical scientist,0.77880859375,5.9,51.8
Telecommunication equipment installer,Physician assistant,0.77880859375,5.9,68.8
Industrial truck and tractor operator,Psychiatric technician,0.77880859375,9.5,69.5
Facilities manager,Special education teacher,0.7783203125,23.4,86.6
Construction manager,Postal service clerk,0.7783203125,10.6,54.1
Architectural and engineering manager,Mental health counselor,0.7783203125,12.8,74.6
Architectural and engineering manager,Nursing assistant,0.7783203125,12.8,90.1
Food service manager,Graphic designer,0.7783203125,46.7,54.7
Computer programmer,Accountant,0.7783203125,21.5,57.0
Software developer,Animal caretaker,0.7783203125,20.2,76.0
Software quality tester,Clinical laboratory technician,0.7783203125,44.1,76.3
Software quality tester,Diagnostic medical sonographer,0.7783203125,44.1,76.1
Network and computer systems administrator,Legal secretary,0.7783203125,16.7,96.4
Chemical engineer,Nutritionist,0.7783203125,21.6,86.3
Chemical engineer,Psychiatric aide,0.7783203125,21.6,53.5
Computer hardware engineer,Ophthalmic medical technician,0.7783203125,5.9,73.7
Materials engineer,Skincare specialist,0.7783203125,13.5,99.0
Materials engineer,File Clerk,0.7783203125,13.5,76.0
Mechanical engineer,Nursing assistant,0.7783203125,10.1,90.1
Surveying and mapping technician,Ophthalmic medical technician,0.7783203125,12.0,73.7
Surveying and mapping technician,Miscellaneous health technician,0.7783203125,12.0,72.7
Chemical technician,Payroll and timekeeping clerk,0.7783203125,35.0,88.2
Lawyer,Fundraiser,0.7783203125,39.5,74.9
Lawyer,Waiter,0.7783203125,39.5,68.8
Actor,Accountant,0.7783203125,47.0,57.0
Surgeon,Author,0.7783203125,20.0,53.8
Paramedic,Veterinary technician,0.7783203125,29.5,89.9
First-line supervisor of security workers,Human resources manager,0.7783203125,22.5,76.5
Correctional officer,Physical therapist assistant,0.7783203125,33.9,68.7
Police officer,Miscellaneous health technician,0.7783203125,14.4,72.7
Security guard,Order clerk,0.7783203125,24.9,58.3
Landscaping and groundskeeping worker,Public relations specialist,0.7783203125,7.3,76.2
Gambling services worker,Ophthalmic medical technician,0.7783203125,40.2,73.7
Tour guide,Artist,0.7783203125,48.2,51.6
First-line supervisor of non-retail sales workers,Nursing assistant,0.7783203125,35.9,90.1
Parts salesperson,Medical records specialist,0.7783203125,22.9,88.9
Retail salesperson,Skincare specialist,0.7783203125,49.2,99.0
Transportation ticket agent,Financial manager,0.7783203125,45.9,56.2
Transportation ticket agent,File Clerk,0.7783203125,45.9,76.0
Carpenter,Baker,0.7783203125,3.1,65.5
Construction equipment operator,Childcare administrator,0.7783203125,1.0,68.6
Highway maintenance worker,Accountant,0.7783203125,2.2,57.0
Aircraft mechanic,Physical therapist,0.7783203125,4.3,67.5
Aircraft mechanic,Physical therapist assistant,0.7783203125,4.3,68.7
Aircraft mechanic,Medical assistant,0.7783203125,4.3,88.8
Printing press operator,Accountant,0.7783203125,24.7,57.0
Painting worker,Artist,0.7783203125,11.3,51.6
Supervisor of transportation and material moving workers,Executive secretary,0.7783203125,25.5,90.0
Aircraft pilot,Public relations manager,0.7783203125,8.3,66.4
Industrial truck and tractor operator,Marketing manager,0.7783203125,9.5,62.4
Stocker,Customer service representative,0.7783203125,36.5,65.3
Facilities manager,Artist,0.77783203125,23.4,51.6
Industrial production manager,Skincare specialist,0.77783203125,19.1,99.0
Purchasing manager,Miscellaneous health technician,0.77783203125,47.7,72.7
Construction manager,Legal secretary,0.77783203125,10.6,96.4
Cost estimator,Artist,0.77783203125,17.7,51.6
Management analyst,Probation officer,0.77783203125,46.6,57.4
Personal financial advisor,Paralegal,0.77783203125,32.6,83.0
Computer systems analyst,Pharmacy technician,0.77783203125,37.8,79.3
Computer systems analyst,Miscellaneous health technician,0.77783203125,37.8,72.7
Information security analyst,Biological scientist,0.77783203125,19.3,55.0
Information security analyst,First-line supervisor of food preparation and serving workers,0.77783203125,19.3,53.5
Software developer,School psychologist,0.77783203125,20.2,87.9
Software quality tester,Order clerk,0.77783203125,44.1,58.3
Web and digital interface designer,Medical scientist,0.77783203125,42.7,51.8
Web and digital interface designer,Food preparation worker,0.77783203125,42.7,58.7
Database administrator,Medical assistant,0.77783203125,30.8,88.8
Database administrator,Real estate broker,0.77783203125,30.8,57.0
Aerospace engineer,Artist,0.77783203125,15.2,51.6
Chemical engineer,Mental health counselor,0.77783203125,21.6,74.6
Computer hardware engineer,Insurance claims and policy processing clerk,0.77783203125,5.9,80.1
Electrical and electronic engineering technician,Veterinary technician,0.77783203125,11.6,89.9
Surveying and mapping technician,First-line supervisor of office and administrative support workers,0.77783203125,12.0,65.8
Coach,Baker,0.77783203125,40.9,65.5
Surgeon,Financial manager,0.77783203125,20.0,56.2
Surgeon,Graphic designer,0.77783203125,20.0,54.7
First-line supervisor of police and detectives,First-line supervisor of food preparation and serving workers,0.77783203125,10.5,53.5
Correctional officer,Public relations manager,0.77783203125,33.9,66.4
Correctional officer,Nurse practitioner,0.77783203125,33.9,89.8
Correctional officer,Miscellaneous health technician,0.77783203125,33.9,72.7
Chef,Baker,0.77783203125,23.3,65.5
Cook,Accountant,0.77783203125,39.8,57.0
Pest control worker,Insurance underwriter,0.77783203125,5.1,56.9
Construction and building inspector,Operations research analyst,0.77783203125,10.5,55.0
Highway maintenance worker,Public relations manager,0.77783203125,2.2,66.4
Telecommunication line installer,Psychiatric technician,0.77783203125,5.3,69.5
Wastewater treatment system operator,Licensed practical nurse,0.77783203125,7.3,88.7
Cutting worker,Graphic designer,0.77783203125,31.1,54.7
Cutting worker,Nursing assistant,0.77783203125,31.1,90.1
Cutting worker,Medical secretary,0.77783203125,31.1,92.8
Stocker,Accountant,0.77783203125,36.5,57.0
Sales manager,Massage therapist,0.77734375,33.1,83.7
Facilities manager,Massage therapist,0.77734375,23.4,83.7
Facilities manager,Travel agent,0.77734375,23.4,79.7
Computer systems manager,Graphic designer,0.77734375,27.7,54.7
Training and development manager,Interior designer,0.77734375,48.0,85.3
Purchasing manager,Biological scientist,0.77734375,47.7,55.0
Computer programmer,Dental hygienist,0.77734375,21.5,95.7
Software developer,Sewing machine operator,0.77734375,20.2,70.7
Computer support specialist,Registered nurse,0.77734375,26.2,87.4
Database administrator,Insurance underwriter,0.77734375,30.8,56.9
Network and computer systems administrator,Receptionist,0.77734375,16.7,89.1
Aerospace engineer,Customer service representative,0.77734375,15.2,65.3
Civil engineer,Public relations manager,0.77734375,16.9,66.4
Civil engineer,Paralegal,0.77734375,16.9,83.0
Computer hardware engineer,Loan officer,0.77734375,5.9,51.6
Postsecondary teacher,Nursing assistant,0.77734375,46.6,90.1
Postsecondary teacher,Medical secretary,0.77734375,46.6,92.8
Emergency medical technician,Accountant,0.77734375,39.4,57.0
Correctional officer,Marketing manager,0.77734375,33.9,62.4
Criminal investigator,Compliance officer,0.77734375,26.3,51.8
Security guard,Miscellaneous health technician,0.77734375,24.9,72.7
Pest control worker,Advertising sales agent,0.77734375,5.1,52.7
Gambling services worker,Nursing assistant,0.77734375,40.2,90.1
First-line supervisor of non-retail sales workers,Miscellaneous health technician,0.77734375,35.9,72.7
First-line supervisor of non-retail sales workers,Fast food and counter worker,0.77734375,35.9,66.3
Counter and rental clerk,Compliance officer,0.77734375,38.7,51.8
Parts salesperson,Human resources manager,0.77734375,22.9,76.5
Retail salesperson,Sewing machine operator,0.77734375,49.2,70.7
Construction equipment operator,Billing and posting clerk,0.77734375,1.0,91.4
Construction and building inspector,Receptionist,0.77734375,10.5,89.1
Aircraft mechanic,Customer service representative,0.77734375,4.3,65.3
Printing press operator,Diagnostic medical sonographer,0.77734375,24.7,76.1
Wastewater treatment system operator,First-line supervisor of food preparation and serving workers,0.77734375,7.3,53.5
Cutting worker,Veterinary technician,0.77734375,31.1,89.9
Computer systems manager,Order clerk,0.77685546875,27.7,58.3
Computer systems manager,Insurance claims and policy processing clerk,0.77685546875,27.7,80.1
Purchasing manager,Massage therapist,0.77685546875,47.7,83.7
Construction manager,Veterinary technician,0.77685546875,10.6,89.9
Food service manager,Surgical technologist,0.77685546875,46.7,76.9
Cost estimator,Receptionist,0.77685546875,17.7,89.1
Logistician,Legal secretary,0.77685546875,38.7,96.4
Management analyst,Flight attendant,0.77685546875,46.6,78.0
Personal financial advisor,Personal care aide,0.77685546875,32.6,79.8
Computer systems analyst,Registered nurse,0.77685546875,37.8,87.4
Information security analyst,Author,0.77685546875,19.3,53.8
Software quality tester,Medical assistant,0.77685546875,44.1,88.8
Web developer,Compliance officer,0.77685546875,19.4,51.8
Network and computer systems administrator,Insurance sales agent,0.77685546875,16.7,54.9
Aerospace engineer,Real estate broker,0.77685546875,15.2,57.0
Chemical engineer,Special education teacher,0.77685546875,21.6,86.6
Materials engineer,Nursing assistant,0.77685546875,13.5,90.1
Mechanical engineer,Administrative services manager,0.77685546875,10.1,74.0
Mechanical engineer,Teaching assistant,0.77685546875,10.1,79.5
Mechanical engineer,Real estate broker,0.77685546875,10.1,57.0
Electrical and electronic engineering technician,Biological scientist,0.77685546875,11.6,55.0
Surveying and mapping technician,Insurance claims and policy processing clerk,0.77685546875,12.0,80.1
Occupational health and safety specialist,Massage therapist,0.77685546875,17.9,83.7
Lawyer,Tax preparer,0.77685546875,39.5,66.3
Lawyer,Baker,0.77685546875,39.5,65.5
Photographer,Biological scientist,0.77685546875,48.5,55.0
Emergency medical technician,Food preparation worker,0.77685546875,39.4,58.7
First-line supervisor of security workers,Public safety telecommunicator,0.77685546875,22.5,78.2
Pest control worker,Medical and health services manager,0.77685546875,5.1,71.8
Landscaping and groundskeeping worker,Medical appliance technician,0.77685546875,7.3,58.9
Retail salesperson,Public safety telecommunicator,0.77685546875,49.2,78.2
Telecommunication equipment installer,Miscellaneous health technician,0.77685546875,5.9,72.7
Aircraft mechanic,Miscellaneous health technician,0.77685546875,4.3,72.7
Automotive service mechanic,Billing and posting clerk,0.77685546875,2.5,91.4
Electrical power-line installer,Financial manager,0.77685546875,2.3,56.2
Electrical power-line installer,Public relations specialist,0.77685546875,2.3,76.2
Telecommunication line installer,Human resources manager,0.77685546875,5.3,76.5
Cutting worker,Medical scientist,0.77685546875,31.1,51.8
Aircraft pilot,Training and development specialist,0.77685546875,8.3,56.7
Stocker,Graphic designer,0.77685546875,36.5,54.7
Stocker,Pharmacist,0.77685546875,36.5,57.8
Logistician,Social and community service manager,0.7763671875,38.7,71.7
Property assessor,Radiologic technician,0.7763671875,34.2,70.3
Property assessor,Ophthalmic medical technician,0.7763671875,34.2,73.7
Personal financial advisor,Special education teacher,0.7763671875,32.6,86.6
Personal financial advisor,Pharmacist,0.7763671875,32.6,57.8
Computer systems analyst,Healthcare social worker,0.7763671875,37.8,77.9
Computer support specialist,Order clerk,0.7763671875,26.2,58.3
Database administrator,Entertainment and recreation manager,0.7763671875,30.8,50.1
Database administrator,Pharmacy technician,0.7763671875,30.8,79.3
Aerospace engineer,Miscellaneous health technician,0.7763671875,15.2,72.7
Computer hardware engineer,Healthcare social worker,0.7763671875,5.9,77.9
Mechanical engineer,Loan officer,0.7763671875,10.1,51.6
Electrical and electronic engineering technician,Loan interviewer,0.7763671875,11.6,76.9
Chemists and materials scientist,Financial manager,0.7763671875,36.0,56.2
First-line supervisor of firefighting and prevention workers,Executive secretary,0.7763671875,6.1,90.0
Criminal investigator,Medical records specialist,0.7763671875,26.3,88.9
Police officer,Public relations manager,0.7763671875,14.4,66.4
Cook,Marketing specialist,0.7763671875,39.8,61.7
Cafeteria attendant,Childcare worker,0.7763671875,43.3,93.8
Landscaping and groundskeeping worker,Billing and posting clerk,0.7763671875,7.3,91.4
Telecommunication equipment installer,First-line supervisor of office and administrative support workers,0.7763671875,5.9,65.8
Telecommunication equipment installer,Executive secretary,0.7763671875,5.9,90.0
Telecommunication line installer,Supervisor of personal care and service workers,0.7763671875,5.3,65.8
Transportation service attendant,Radiologic technician,0.7763671875,23.4,70.3
Industrial truck and tractor operator,Financial manager,0.7763671875,9.5,56.2
Industrial truck and tractor operator,Supervisor of personal care and service workers,0.7763671875,9.5,65.8
Stocker,Social and community service manager,0.7763671875,36.5,71.7
Chief executive,Lodging manager,0.77587890625,30.6,61.6
Sales manager,School psychologist,0.77587890625,33.1,87.9
Facilities manager,Clinical laboratory technician,0.77587890625,23.4,76.3
Computer systems manager,Biological scientist,0.77587890625,27.7,55.0
Purchasing manager,School psychologist,0.77587890625,47.7,87.9
Purchasing manager,Author,0.77587890625,47.7,53.8
Purchasing manager,Diagnostic medical sonographer,0.77587890625,47.7,76.1
Construction manager,Skincare specialist,0.77587890625,10.6,99.0
Logistician,Public relations manager,0.77587890625,38.7,66.4
Management analyst,Filling machine operator,0.77587890625,46.6,57.3
Personal financial advisor,Operations research analyst,0.77587890625,32.6,55.0
Computer systems analyst,Receptionist,0.77587890625,37.8,89.1
Software quality tester,Interior designer,0.77587890625,44.1,85.3
Web developer,Mental health counselor,0.77587890625,19.4,74.6
Web developer,Pharmacist,0.77587890625,19.4,57.8
Database administrator,Insurance claims and policy processing clerk,0.77587890625,30.8,80.1
Civil engineer,Compliance officer,0.77587890625,16.9,51.8
Electrical and electronics engineer,Pharmacist,0.77587890625,11.6,57.8
Electrical and electronics engineer,Food preparation worker,0.77587890625,11.6,58.7
Electrical and electronics engineer,Order clerk,0.77587890625,11.6,58.3
Mechanical engineer,Training and development specialist,0.77587890625,10.1,56.7
Surveying and mapping technician,Medical scientist,0.77587890625,12.0,51.8
Surveying and mapping technician,Graphic designer,0.77587890625,12.0,54.7
Surveying and mapping technician,Order clerk,0.77587890625,12.0,58.3
Postsecondary teacher,Billing and posting clerk,0.77587890625,46.6,91.4
Actor,Pharmacist,0.77587890625,47.0,57.8
First-line supervisor of firefighting and prevention workers,Recreation worker,0.77587890625,6.1,58.9
First-line supervisor of security workers,Public relations manager,0.77587890625,22.5,66.4
Correctional officer,Speech-language pathologist,0.77587890625,33.9,94.3
Private detective,Probation officer,0.77587890625,43.0,57.4
First-line supervisor of housekeeping and janitorial workers,Marketing specialist,0.77587890625,44.1,61.7
Landscaping and groundskeeping worker,Financial manager,0.77587890625,7.3,56.2
Gambling services worker,Physical therapist assistant,0.77587890625,40.2,68.7
Counter and rental clerk,Licensed practical nurse,0.77587890625,38.7,88.7
Counter and rental clerk,Miscellaneous health technician,0.77587890625,38.7,72.7
First-line supervisor of construction trades and extraction workers,Executive secretary,0.77587890625,5.1,90.0
Construction equipment operator,Physician assistant,0.77587890625,1.0,68.8
Electrician,Miscellaneous health technician,0.77587890625,2.9,72.7
Telecommunication equipment installer,Entertainment and recreation manager,0.77587890625,5.9,50.1
Aircraft mechanic,Accountant,0.77587890625,4.3,57.0
Electrical power-line installer,Food preparation worker,0.77587890625,2.3,58.7
Telecommunication line installer,Ophthalmic medical technician,0.77587890625,5.3,73.7
Aircraft pilot,Customer service representative,0.77587890625,8.3,65.3
Industrial truck and tractor operator,Insurance sales agent,0.77587890625,9.5,54.9
Stocker,Human resources worker,0.77587890625,36.5,76.5
Chief executive,Graphic designer,0.775390625,30.6,54.7
Chief executive,Author,0.775390625,30.6,53.8
Operation manager,Psychiatric aide,0.775390625,37.1,53.5
Facilities manager,Nutritionist,0.775390625,23.4,86.3
Facilities manager,Pharmacy technician,0.775390625,23.4,79.3
Training and development manager,Medical scientist,0.775390625,48.0,51.8
Personal financial advisor,Dental assistant,0.775390625,32.6,92.8
Computer systems analyst,Clinical laboratory technician,0.775390625,37.8,76.3
Web developer,Skincare specialist,0.775390625,19.4,99.0
Web and digital interface designer,Substance abuse and behavioral disorder counselor,0.775390625,42.7,78.1
Web and digital interface designer,Loan interviewer,0.775390625,42.7,76.9
Computer support specialist,Media collections specialist,0.775390625,26.2,82.5
Database administrator,Translator,0.775390625,30.8,74.4
Electrical and electronics engineer,Interior designer,0.775390625,11.6,85.3
Materials engineer,Insurance claims and policy processing clerk,0.775390625,13.5,80.1
Mechanical engineer,Pharmacist,0.775390625,10.1,57.8
Surveying and mapping technician,Public safety telecommunicator,0.775390625,12.0,78.2
Lawyer,Healthcare social worker,0.775390625,39.5,77.9
Postsecondary teacher,Loan interviewer,0.775390625,46.6,76.9
Correctional officer,Marketing specialist,0.775390625,33.9,61.7
Correctional officer,Insurance underwriter,0.775390625,33.9,56.9
Pest control worker,Social and human service assistant,0.775390625,5.1,75.3
Landscaping and groundskeeping worker,Miscellaneous health technician,0.775390625,7.3,72.7
Telecommunication equipment installer,Accountant,0.775390625,5.9,57.0
Aircraft mechanic,Psychiatric technician,0.775390625,4.3,69.5
Electrical power-line installer,Registered nurse,0.775390625,2.3,87.4
Computer systems manager,Supervisor of personal care and service workers,0.77490234375,27.7,65.8
Industrial production manager,Artist,0.77490234375,19.1,51.6
Purchasing manager,Animal caretaker,0.77490234375,47.7,76.0
Purchasing manager,Cashier,0.77490234375,47.7,69.8
Food service manager,Loan interviewer,0.77490234375,46.7,76.9
Cost estimator,Mental health counselor,0.77490234375,17.7,74.6
Logistician,Tutor,0.77490234375,38.7,70.4
Project management specialist,Psychiatric aide,0.77490234375,47.3,53.5
Computer systems analyst,Billing and posting clerk,0.77490234375,37.8,91.4
Computer systems analyst,Medical secretary,0.77490234375,37.8,92.8
Software developer,Secondary school teacher,0.77490234375,20.2,56.9
Network and computer systems administrator,Psychiatric technician,0.77490234375,16.7,69.5
Aerospace engineer,Radiologic technician,0.77490234375,15.2,70.3
Chemical engineer,Author,0.77490234375,21.6,53.8
Chemical engineer,Skincare specialist,0.77490234375,21.6,99.0
Civil engineer,Insurance underwriter,0.77490234375,16.9,56.9
Electrical and electronics engineer,Respiratory therapist,0.77490234375,11.6,62.4
Electrical and electronic engineering technician,Childcare worker,0.77490234375,11.6,93.8
Postsecondary teacher,Order clerk,0.77490234375,46.6,58.3
Correctional officer,Order clerk,0.77490234375,33.9,58.3
Police officer,Social and community service manager,0.77490234375,14.4,71.7
Police officer,Paralegal,0.77490234375,14.4,83.0
Cook,Marketing manager,0.77490234375,39.8,62.4
First-line supervisor of housekeeping and janitorial workers,Insurance sales agent,0.77490234375,44.1,54.9
Counter and rental clerk,Loan interviewer,0.77490234375,38.7,76.9
Construction laborer,Laundry worker,0.77490234375,4.5,74.5
Construction and building inspector,Order clerk,0.77490234375,10.5,58.3
Telecommunication equipment installer,Medical records specialist,0.77490234375,5.9,88.9
Aircraft mechanic,Public relations specialist,0.77490234375,4.3,76.2
Aircraft mechanic,Veterinary technician,0.77490234375,4.3,89.9
Automotive service mechanic,Executive secretary,0.77490234375,2.5,90.0
Printing press operator,Social and community service manager,0.77490234375,24.7,71.7
Cutting worker,Loan officer,0.77490234375,31.1,51.6
Supervisor of transportation and material moving workers,First-line supervisor of food preparation and serving workers,0.77490234375,25.5,53.5
Operation manager,Animal caretaker,0.7744140625,37.1,76.0
Construction manager,Pharmacy technician,0.7744140625,10.6,79.3
Food service manager,Public safety telecommunicator,0.7744140625,46.7,78.2
Logistician,Human resources manager,0.7744140625,38.7,76.5
Management analyst,Housekeeping cleaner,0.7744140625,46.6,88.4
Personal financial advisor,Nurse practitioner,0.7744140625,32.6,89.8
Personal financial advisor,Medical secretary,0.7744140625,32.6,92.8
Information security analyst,Pharmacist,0.7744140625,19.3,57.8
Computer programmer,Editor,0.7744140625,21.5,56.6
Software developer,Legal secretary,0.7744140625,20.2,96.4
Database administrator,Loan interviewer,0.7744140625,30.8,76.9
Database administrator,Order clerk,0.7744140625,30.8,58.3
Computer network architect,Medical appliance technician,0.7744140625,7.7,58.9
Chemical engineer,Loan officer,0.7744140625,21.6,51.6
Materials engineer,Special education teacher,0.7744140625,13.5,86.6
Chemical technician,Entertainment and recreation manager,0.7744140625,35.0,50.1
Photographer,Human resources worker,0.7744140625,48.5,76.5
Emergency medical technician,Special education teacher,0.7744140625,39.4,86.6
Paramedic,Artist,0.7744140625,29.5,51.6
Correctional officer,Medical scientist,0.7744140625,33.9,51.8
Correctional officer,Occupational therapist,0.7744140625,33.9,88.6
Criminal investigator,Financial manager,0.7744140625,26.3,56.2
Landscaping and groundskeeping worker,Medical assistant,0.7744140625,7.3,88.8
Counter and rental clerk,Massage therapist,0.7744140625,38.7,83.7
Parts salesperson,Insurance underwriter,0.7744140625,22.9,56.9
Transportation ticket agent,Lodging manager,0.7744140625,45.9,61.6
Transportation ticket agent,Compliance officer,0.7744140625,45.9,51.8
Telecommunication equipment installer,Graphic designer,0.7744140625,5.9,54.7
Telecommunication equipment installer,Receptionist,0.7744140625,5.9,89.1
Refractory machinery mechanic,Filling machine operator,0.7744140625,3.9,57.3
Telecommunication line installer,Medical assistant,0.7744140625,5.3,88.8
Aircraft pilot,Compliance officer,0.7744140625,8.3,51.8
Truck driver,Artist,0.7744140625,6.9,51.6
Parking attendant,Human resources worker,0.7744140625,13.5,76.5
Computer systems manager,Real estate broker,0.77392578125,27.7,57.0
Training and development manager,Mental health counselor,0.77392578125,48.0,74.6
Construction manager,Special education teacher,0.77392578125,10.6,86.6
Construction manager,Artist,0.77392578125,10.6,51.6
Architectural and engineering manager,Surgical technologist,0.77392578125,12.8,76.9
Property assessor,Public safety telecommunicator,0.77392578125,34.2,78.2
